,TOTAL_ACCIDENTES,GRAVEDAD,GRAVEDAD,GRAVEDAD,CLASE,CLASE,CLASE,CLASE,CLASE,CLASE,CLASE,LOCALIDAD,LOCALIDAD,LOCALIDAD,LOCALIDAD,LOCALIDAD,LOCALIDAD,LOCALIDAD,LOCALIDAD,LOCALIDAD,LOCALIDAD,LOCALIDAD,LOCALIDAD,LOCALIDAD,LOCALIDAD,LOCALIDAD,LOCALIDAD,LOCALIDAD,LOCALIDAD,LOCALIDAD,DIA_SEMANA_OCURRENCIA,DIA_SEMANA_OCURRENCIA,DIA_SEMANA_OCURRENCIA,DIA_SEMANA_OCURRENCIA,DIA_SEMANA_OCURRENCIA,DIA_SEMANA_OCURRENCIA,DIA_SEMANA_OCURRENCIA
,,SOLO DANOS,CON HERIDOS,CON MUERTOS,CHOQUE,ATROPELLO,VOLCAMIENTO,OTRO,CAIDA DE OCUPANTE,INCENDIO,AUTOLESION,KENNEDY,ENGATIVA,FONTIBON,SUBA,PUENTE ARANDA,CHAPINERO,TEUSAQUILLO,USAQUEN,LOS MARTIRES,SANTA FE,BARRIOS UNIDOS,RAFAEL URIBE URIBE,BOSA,SAN CRISTOBAL,TUNJUELITO,CIUDAD BOLIVAR,ANTONIO NARIÑO,USME,CANDELARIA,Jueves,Miercoles,Martes,Viernes,Domingo,Sábado,Lunes
FECHA_OCURRENCIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-07-29,582,382,195,5,490,62,9,8,6,0,7,62,72,44,65,25,47,43,61,26,30,33,13,11,7,13,14,10,3,3,86,71,86,94,54,92,99
2012-08-05,589,391,192,6,500,56,6,5,15,0,7,45,59,49,58,45,52,40,63,37,19,28,11,15,12,14,10,21,5,6,79,90,80,99,65,90,86
2012-08-12,516,325,188,3,424,63,6,7,12,0,4,45,78,32,50,29,27,41,58,29,20,27,11,17,8,9,8,8,9,10,78,93,52,84,49,87,73
2012-08-19,550,354,189,7,450,75,6,8,9,0,2,61,48,43,72,37,40,47,50,22,27,32,9,15,9,6,14,8,6,4,83,75,83,88,63,71,87
2012-08-26,493,302,187,4,399,70,3,7,10,0,4,46,43,40,56,26,40,36,57,27,23,31,9,12,8,8,9,7,7,8,66,96,85,94,45,65,42
2012-09-02,551,353,194,4,455,66,5,10,14,0,1,65,77,42,55,31,40,32,55,29,18,36,10,7,9,9,12,11,8,5,78,88,94,86,52,79,74
2012-09-09,602,369,231,2,484,85,3,7,14,0,9,59,77,45,76,41,49,43,54,21,21,43,13,14,6,9,14,8,6,3,80,96,80,85,73,96,92
2012-09-16,586,357,218,11,471,73,11,4,20,0,7,50,84,41,47,47,55,40,55,29,24,38,14,10,7,12,12,6,9,6,77,78,93,94,59,93,92
2012-09-23,563,367,191,5,471,62,8,7,7,0,8,53,67,37,60,33,45,41,62,23,22,47,6,15,12,7,14,6,7,6,83,70,90,88,57,90,85
2012-09-30,567,362,200,5,456,81,5,16,5,0,4,44,81,42,64,27,41,42,55,27,31,37,17,14,2,7,15,6,7,8,89,80,88,81,50,94,85
2012-10-07,636,408,226,2,520,74,13,8,12,0,9,47,69,52,83,47,54,39,66,25,19,44,13,12,9,20,12,14,2,9,103,84,96,103,53,111,86
2012-10-14,541,349,188,4,456,58,7,8,9,0,3,50,65,37,61,38,43,34,40,23,31,33,13,11,8,18,15,9,9,3,89,92,86,89,39,69,77
2012-10-21,528,365,158,5,450,50,6,4,15,0,3,49,74,40,60,29,27,40,60,21,25,38,11,10,5,9,8,7,8,7,90,100,81,71,52,91,43
2012-10-28,650,421,222,7,536,80,9,8,9,0,8,64,72,60,71,37,51,37,73,38,22,37,9,13,11,8,17,14,5,11,93,89,104,102,82,101,79
2012-11-04,606,398,203,5,508,72,6,8,11,0,1,56,70,39,65,39,49,30,67,34,24,37,14,20,13,11,10,15,3,10,88,93,87,117,61,71,89
2012-11-11,533,359,172,2,439,68,7,6,7,0,6,39,69,45,56,30,41,24,67,20,23,33,14,16,12,7,16,11,2,8,67,88,82,102,57,93,44
2012-11-18,583,415,166,2,506,58,6,2,3,1,7,44,76,45,59,48,44,46,56,18,24,29,22,17,10,10,14,6,8,7,91,101,89,97,56,111,38
2012-11-25,655,453,197,5,563,60,9,3,14,0,6,56,80,46,80,49,59,38,70,30,22,43,14,15,12,7,17,9,3,5,98,107,104,93,66,99,88
2012-12-02,685,451,227,7,574,79,8,5,12,0,7,74,79,48,73,46,45,43,92,24,18,42,17,17,10,17,16,9,4,11,113,117,90,105,71,101,88
2012-12-09,669,451,212,6,556,91,10,2,7,0,3,64,77,57,71,42,58,35,72,32,17,41,20,19,10,10,14,10,12,8,95,105,110,120,54,77,108
2012-12-16,659,442,213,4,548,80,7,4,15,0,5,58,57,44,90,45,50,43,72,30,21,43,19,15,10,15,14,11,14,8,92,108,102,108,69,87,93
2012-12-23,695,488,202,5,594,77,7,2,13,0,2,61,88,43,75,45,49,47,73,40,29,43,16,12,16,19,18,4,10,7,97,94,103,139,81,99,82
2012-12-30,473,323,145,5,403,53,3,3,5,0,6,48,61,38,48,33,19,38,45,20,16,33,17,10,9,15,9,8,6,0,77,94,40,81,42,60,79
2013-01-06,329,181,143,5,259,49,7,3,8,0,3,24,37,31,37,18,21,22,34,9,12,20,10,9,10,12,9,7,6,1,54,57,25,74,35,45,39
2013-01-13,483,307,173,3,393,67,7,2,11,0,3,51,57,39,62,44,27,24,44,20,14,28,16,9,3,14,18,6,5,2,86,63,77,83,45,89,40
2013-01-20,571,363,202,6,479,65,7,11,7,0,2,39,72,57,61,30,39,40,58,29,21,32,21,16,8,14,10,13,5,6,96,83,73,111,58,74,76
2013-01-27,615,384,220,11,504,79,6,8,9,0,9,60,61,41,65,38,48,46,66,29,19,37,14,10,20,11,24,13,9,4,74,105,85,106,70,88,87
2013-02-03,626,423,201,2,534,61,6,5,16,0,4,63,60,36,78,40,54,39,73,24,23,41,15,11,12,14,15,13,10,5,88,97,85,99,62,110,85
2013-02-10,635,414,216,5,527,78,5,5,16,0,4,45,74,55,77,39,51,37,74,21,21,40,16,13,18,17,21,10,2,4,56,77,102,123,65,111,101
2013-02-17,598,401,196,1,518,61,2,5,10,0,2,49,57,54,79,44,45,31,73,20,24,35,12,11,10,15,20,9,7,3,84,97,84,101,48,85,99
2013-02-24,560,361,197,2,459,73,3,8,10,0,7,53,55,31,70,42,44,43,56,27,13,32,10,19,13,18,12,12,5,5,87,93,87,70,54,97,72
2013-03-03,613,420,189,4,525,65,2,8,9,0,4,56,64,43,76,39,51,44,54,29,23,45,14,23,10,9,12,12,5,4,87,86,95,112,53,101,79
2013-03-10,574,384,186,4,481,72,1,4,13,0,3,54,64,55,63,38,41,33,53,17,18,40,19,13,14,12,12,17,5,6,91,80,86,87,45,97,88
2013-03-17,694,445,244,5,562,92,3,14,17,0,6,71,82,37,86,40,60,48,69,27,30,38,9,15,16,21,14,15,10,6,79,115,88,132,83,115,82
2013-03-24,616,417,196,3,521,72,3,8,10,0,2,48,74,58,72,36,62,58,65,15,20,38,6,13,6,16,11,14,2,2,92,96,96,115,50,82,85
2013-03-31,349,223,122,4,280,52,4,5,2,0,6,38,51,27,37,19,31,14,24,17,13,22,13,7,7,9,7,6,6,1,25,92,87,19,35,41,50
2013-04-07,584,388,190,6,495,64,3,11,10,0,1,45,60,47,53,35,48,50,73,21,21,37,17,13,13,11,13,13,6,8,75,89,79,114,50,101,76
2013-04-14,582,382,197,3,504,63,6,2,4,0,3,43,67,42,50,45,41,41,66,38,19,37,12,14,11,17,15,8,6,10,86,80,86,100,51,95,84
2013-04-21,632,421,208,3,536,69,6,6,12,0,3,49,79,40,76,53,57,43,57,31,29,34,13,15,3,7,15,19,5,7,87,100,92,105,48,100,100
2013-04-28,610,421,188,1,507,84,5,8,5,0,1,52,85,34,66,54,44,33,59,24,18,48,17,11,13,9,12,13,9,9,97,76,80,87,64,113,93
2013-05-05,613,426,184,3,518,79,4,4,6,0,2,55,62,58,67,50,47,42,67,26,10,26,14,17,7,17,20,14,7,7,84,67,98,114,60,100,90
2013-05-12,688,467,218,3,584,79,6,8,8,0,3,65,60,57,76,58,50,40,84,23,18,48,16,20,12,13,25,14,4,5,94,103,112,92,78,102,107
2013-05-19,540,379,158,3,456,69,4,6,5,0,0,49,58,55,59,40,43,40,46,29,14,27,12,15,12,8,15,11,2,5,72,75,92,107,60,98,36
2013-05-26,684,487,193,4,584,81,4,5,8,0,2,56,76,54,84,47,53,40,69,33,33,47,9,15,9,15,14,13,6,11,91,101,104,108,60,110,110
2013-06-02,582,383,195,4,502,57,6,5,8,0,4,57,58,68,53,41,46,33,57,24,22,33,14,10,15,15,10,15,6,5,83,102,94,97,48,90,68
2013-06-09,524,356,161,7,440,68,3,6,5,0,2,62,74,40,56,29,33,41,58,21,18,25,7,13,10,4,13,7,5,8,84,73,82,112,39,89,45
2013-06-16,557,369,183,5,473,64,4,5,7,0,4,38,72,45,60,38,44,38,55,22,13,36,19,13,10,10,18,16,4,6,80,77,108,73,75,109,35
2013-06-23,539,351,186,2,449,64,5,5,15,0,1,52,55,45,54,28,45,34,53,28,17,33,16,12,17,8,19,11,6,6,86,66,95,92,41,86,73
2013-06-30,529,362,164,3,440,66,6,6,8,0,3,44,56,48,51,30,45,37,41,19,17,40,14,15,14,17,19,10,5,7,98,95,81,76,41,73,65
2013-07-07,538,357,175,6,444,69,4,13,6,0,2,50,65,47,53,48,44,27,53,27,16,33,13,12,7,13,15,7,7,1,65,81,95,83,68,100,46
2013-07-14,561,368,187,6,470,70,3,9,7,0,2,46,55,53,55,45,37,40,42,23,25,40,9,14,16,16,20,12,8,5,70,87,94,89,58,82,81
2013-07-21,504,332,167,5,421,66,4,2,9,1,1,45,42,39,70,28,38,33,47,26,25,38,12,11,8,13,14,7,2,6,86,82,76,81,55,45,79
2013-07-28,507,322,177,8,405,81,4,7,9,0,1,37,54,53,53,29,32,32,47,30,26,33,17,12,8,7,14,13,6,4,66,75,90,78,54,75,69
2013-08-04,564,397,161,6,479,60,4,10,10,0,1,46,64,42,57,34,45,47,44,29,26,48,16,18,7,11,14,6,2,8,79,73,77,102,51,99,83
2013-08-11,530,356,171,3,456,59,2,4,9,0,0,44,49,41,65,36,39,50,56,22,24,33,10,12,8,8,14,9,4,6,79,51,93,89,55,80,83
2013-08-18,545,383,156,6,470,63,3,3,6,0,0,43,64,44,53,32,46,47,51,20,18,39,20,12,7,12,13,7,9,8,76,78,86,104,50,79,72
2013-08-25,514,356,155,3,433,58,7,3,10,0,3,50,60,27,56,28,50,41,56,21,12,36,11,9,7,10,20,4,7,9,79,87,86,87,71,70,34
2013-09-01,510,352,153,5,447,48,6,5,3,0,1,41,49,36,50,31,37,32,70,24,17,30,14,19,11,9,14,12,3,11,49,86,89,71,63,84,68
2013-09-08,562,412,144,6,478,63,5,2,11,1,2,51,54,44,50,51,52,25,72,24,17,32,14,17,8,10,17,11,6,7,75,91,83,102,48,80,83
2013-09-15,546,373,167,6,456,67,6,6,10,1,0,52,58,64,73,29,32,41,42,22,26,35,10,13,9,13,11,5,4,7,77,78,84,95,47,94,71
2013-09-22,578,386,185,7,485,63,3,7,17,0,3,48,66,46,56,43,42,30,61,42,24,37,13,9,8,8,16,11,10,8,88,89,88,89,54,95,75
2013-09-29,569,374,190,5,478,64,4,8,12,0,3,47,59,45,50,40,45,43,68,23,19,39,16,10,6,21,13,10,8,7,72,88,84,100,52,100,73
2013-10-06,602,411,184,7,511,66,5,3,11,1,5,54,65,50,58,37,52,41,54,24,28,40,15,18,12,8,21,15,5,5,83,79,97,93,53,105,92
2013-10-13,567,358,199,10,467,78,4,5,9,0,4,60,62,45,44,36,55,42,40,30,20,37,20,15,9,10,15,12,7,8,74,101,85,96,38,79,94
2013-10-20,499,324,171,4,412,66,4,5,11,0,1,53,45,49,51,37,37,34,54,23,15,21,6,15,11,11,19,6,7,5,75,94,77,95,44,73,41
2013-10-27,617,412,201,4,519,75,3,4,14,0,2,65,71,56,62,43,55,35,60,28,21,36,17,15,10,11,17,4,5,6,93,85,98,106,59,97,79
2013-11-03,626,418,205,3,516,85,2,9,14,0,0,61,70,60,69,39,43,48,61,27,18,35,9,14,15,12,17,17,6,5,93,79,124,97,38,97,98
2013-11-10,596,434,159,3,522,58,3,5,8,0,0,54,79,47,63,39,53,34,52,19,27,38,9,22,17,8,17,11,4,3,83,97,113,105,48,92,58
2013-11-17,554,363,185,6,453,78,2,5,12,0,4,45,57,49,59,39,47,34,45,26,20,36,9,25,14,7,18,9,9,6,99,83,96,80,52,107,37
2013-11-24,607,415,188,4,512,70,6,9,7,0,3,59,84,38,69,43,42,47,53,22,28,39,14,12,8,8,14,17,5,5,91,77,97,98,69,104,71
2013-12-01,646,449,194,3,548,67,4,9,17,0,1,63,61,59,74,35,47,48,60,35,17,54,19,18,10,9,13,9,6,9,77,87,116,99,62,108,97
2013-12-08,668,459,201,8,563,74,2,7,19,0,3,66,56,40,82,49,56,57,77,33,15,47,16,15,11,15,14,8,6,5,104,88,105,112,64,100,95
2013-12-15,627,418,200,9,526,85,2,5,7,0,2,58,56,51,56,53,53,44,63,29,21,52,19,16,13,11,9,9,6,8,110,89,94,76,64,114,80
2013-12-22,649,464,181,4,555,71,4,7,10,0,2,72,77,48,72,51,36,28,71,51,14,45,10,21,7,8,17,8,5,8,103,105,95,89,69,87,101
2013-12-29,423,281,133,9,361,52,1,4,4,0,1,34,45,40,44,33,28,28,34,17,10,27,23,11,8,10,11,11,5,4,67,35,59,71,41,58,92
2014-01-05,329,225,100,4,276,45,0,1,4,0,3,44,36,26,29,33,13,16,16,13,5,23,14,19,4,7,15,7,4,5,58,32,52,50,32,38,67
2014-01-12,390,274,113,3,331,37,5,6,8,0,3,34,58,29,41,30,29,26,40,14,11,22,10,11,3,4,9,8,8,3,61,61,69,73,43,59,24
2014-01-19,476,308,163,5,380,64,3,11,13,0,5,37,56,27,49,36,24,35,54,20,13,26,16,13,15,9,13,15,13,5,68,80,61,82,43,62,80
2014-01-26,551,367,176,8,469,60,2,10,8,0,2,67,55,33,59,52,40,33,47,20,21,27,12,27,6,10,22,11,5,4,90,78,79,80,51,86,87
2014-02-02,544,367,174,3,458,65,5,3,9,0,4,37,57,36,63,25,50,36,67,36,16,33,11,13,10,7,22,11,8,6,77,73,67,98,52,98,79
2014-02-09,591,390,195,6,501,64,8,4,12,0,2,62,67,42,50,48,44,41,66,19,20,51,11,8,11,16,14,12,3,6,59,101,92,126,53,87,73
2014-02-16,603,404,194,5,511,64,6,7,15,0,0,59,62,35,70,41,57,39,74,25,13,37,15,13,8,13,12,7,12,11,107,91,80,86,66,97,76
2014-02-23,596,406,182,8,504,65,5,6,11,0,5,69,79,38,56,44,49,38,65,25,19,29,13,14,6,9,15,7,5,16,85,107,80,103,64,71,86
2014-03-02,581,405,172,4,496,61,4,8,11,0,1,63,70,43,61,35,42,38,71,31,12,37,13,11,10,10,14,9,5,6,97,85,74,95,58,100,72
2014-03-09,632,423,202,7,537,71,2,13,9,0,0,66,65,54,59,37,66,45,73,19,17,35,18,24,11,8,12,12,4,7,96,86,99,109,56,91,95
2014-03-16,604,431,172,1,518,60,4,5,15,0,2,68,68,29,75,52,41,42,56,38,12,40,17,21,7,7,13,8,4,6,99,89,100,96,47,87,86
2014-03-23,611,415,187,9,528,66,0,4,10,0,3,63,72,41,51,36,52,42,70,24,24,34,16,19,10,15,24,10,6,2,99,92,101,101,44,79,95
2014-03-30,570,392,174,4,499,61,0,3,5,0,2,57,77,30,71,46,43,32,56,20,23,30,19,10,13,8,15,6,6,8,78,93,86,114,53,100,46
2014-04-06,599,432,163,4,512,61,3,12,10,0,1,58,64,36,56,49,53,43,58,27,30,34,14,17,11,10,20,7,7,5,116,97,90,83,41,91,81
2014-04-13,609,373,235,1,503,78,3,8,14,0,3,57,69,36,64,47,41,45,67,29,20,34,15,20,11,8,22,12,7,5,100,91,92,108,55,73,90
2014-04-20,429,295,130,4,361,45,5,6,11,0,1,47,54,35,39,28,27,26,36,25,17,20,14,13,8,11,11,9,5,4,60,83,95,18,37,42,94
2014-04-27,610,413,188,9,521,73,5,4,6,0,1,57,68,41,68,44,52,40,51,19,23,46,21,23,11,7,17,10,5,7,104,86,81,108,44,90,97
2014-05-04,609,413,193,3,517,69,2,8,12,0,1,55,56,46,59,52,43,46,58,23,25,40,23,19,10,11,17,20,3,3,53,112,93,94,66,87,104
2014-05-11,669,484,180,5,583,62,4,11,7,0,2,71,78,50,79,34,54,42,77,25,23,41,18,14,11,15,14,14,4,5,86,91,85,116,70,102,119
2014-05-18,572,380,186,6,473,70,7,8,13,0,1,57,75,46,71,35,33,33,64,20,23,33,20,14,3,14,14,6,6,5,96,74,90,84,53,85,90
2014-05-25,594,408,182,4,505,62,6,10,11,0,0,64,59,46,58,41,58,36,62,24,19,33,21,16,8,12,13,13,6,5,81,98,93,119,52,91,60
2014-06-01,633,419,213,1,539,56,6,8,21,0,3,72,77,42,69,43,41,49,62,23,21,45,8,21,15,9,14,12,8,2,82,103,106,104,57,75,106
2014-06-08,525,363,160,2,445,59,2,4,15,0,0,49,66,44,51,41,34,34,48,17,14,36,22,14,12,14,11,12,4,2,79,80,88,99,51,85,43
2014-06-15,612,416,193,3,506,72,3,12,18,0,1,54,75,53,72,55,34,32,58,30,15,41,18,19,3,13,14,8,14,4,85,109,97,92,36,95,98
2014-06-22,549,382,167,0,466,55,7,5,14,0,2,45,62,43,37,34,41,35,74,28,16,39,15,11,10,14,16,11,12,6,78,88,96,84,57,66,80
2014-06-29,479,328,144,7,413,50,2,4,10,0,0,58,53,32,50,23,34,27,60,19,11,22,15,25,6,8,16,10,5,5,73,87,86,57,44,75,57
2014-07-06,486,305,175,6,402,60,5,2,16,0,1,63,53,37,52,49,25,32,41,19,15,25,14,13,5,10,14,12,3,4,84,91,78,74,48,77,34
2014-07-13,513,362,147,4,435,55,2,8,12,0,1,59,71,31,47,40,32,30,57,18,13,30,12,12,10,14,18,10,5,4,66,86,79,77,60,70,75
2014-07-20,542,363,175,4,455,72,3,3,9,0,0,56,64,43,51,50,46,32,49,17,16,22,15,28,8,8,17,11,7,2,88,67,91,78,53,80,85
2014-07-27,547,356,188,3,456,69,0,7,15,0,0,64,61,33,63,50,36,29,51,17,9,38,20,21,7,15,20,9,3,1,86,67,87,97,45,84,81
2014-08-03,581,380,191,10,483,75,2,7,13,1,0,59,69,39,65,50,42,36,49,29,14,31,16,23,6,14,23,9,4,3,82,95,85,78,58,94,89
2014-08-10,551,369,179,3,467,59,3,12,10,0,0,71,68,39,57,50,35,33,49,21,18,38,11,12,7,10,15,11,5,1,37,105,83,111,42,87,86
2014-08-17,575,373,199,3,460,79,8,13,15,0,0,61,72,33,67,31,46,35,53,27,21,35,17,18,9,11,15,11,8,5,72,84,87,101,49,89,93
2014-08-24,515,341,171,3,443,51,4,7,10,0,0,55,63,37,46,33,38,36,54,19,11,26,17,15,9,21,11,10,8,6,87,80,93,90,50,81,34
2014-08-31,656,465,188,3,569,67,3,5,10,0,2,69,79,44,69,47,59,38,69,32,21,33,18,18,8,10,15,16,6,5,95,82,96,127,62,100,94
2014-09-07,628,422,202,4,525,81,4,5,12,0,1,68,79,50,62,52,46,33,71,12,16,44,14,17,7,10,19,9,15,4,101,103,86,98,69,77,94
2014-09-14,601,399,195,7,510,65,2,9,14,0,1,56,84,33,75,51,47,36,59,22,24,33,13,14,8,12,18,8,4,4,71,90,106,105,77,81,71
2014-09-21,672,472,191,9,578,78,3,6,7,0,0,59,65,62,68,46,62,49,66,34,20,42,15,17,9,12,17,13,8,8,95,101,96,114,57,116,93
2014-09-28,624,413,205,6,533,69,1,7,13,0,1,61,84,38,69,58,29,35,76,19,18,50,15,23,5,9,15,12,2,6,105,81,101,102,46,97,92
2014-10-05,541,362,170,9,469,57,3,5,7,0,0,48,63,34,61,50,40,41,40,28,17,30,11,17,9,11,11,11,11,8,90,64,93,105,41,62,86
2014-10-12,469,324,137,8,403,47,3,5,11,0,0,32,50,34,53,31,36,33,57,22,13,27,16,18,9,7,9,10,4,8,71,93,66,68,42,60,69
2014-10-19,492,314,169,9,401,68,6,4,13,0,0,49,67,35,49,35,36,29,65,15,19,25,8,18,9,10,5,9,8,1,86,75,71,105,40,73,42
2014-10-26,521,331,181,9,440,55,7,4,15,0,0,36,68,40,63,49,48,26,62,27,9,28,9,13,8,7,10,8,5,5,69,85,72,73,62,76,84
2014-11-02,597,431,161,5,515,60,4,4,14,0,0,52,69,41,79,37,57,42,68,23,15,34,14,8,15,10,14,7,8,4,87,91,95,101,52,77,94
2014-11-09,501,335,149,17,427,58,4,1,11,0,0,46,62,30,54,39,50,25,61,17,17,33,10,16,11,7,7,8,5,3,75,77,96,87,46,79,41
2014-11-16,495,330,155,10,415,63,1,5,11,0,0,41,59,32,48,38,36,32,62,30,16,36,6,18,4,4,17,7,6,3,76,54,73,86,42,76,88
2014-11-23,523,368,144,11,446,55,7,4,11,0,0,45,59,45,59,35,40,33,54,17,14,33,13,25,6,7,17,11,4,6,86,87,90,64,55,96,45
2014-11-30,561,357,187,17,461,78,4,1,17,0,0,41,61,46,52,44,44,42,66,24,12,31,14,11,12,14,23,10,3,11,83,88,82,86,51,95,76
2014-12-07,553,377,168,8,467,66,7,0,13,0,0,48,56,37,55,51,50,36,69,22,18,40,12,14,12,6,16,7,1,3,82,82,81,100,58,77,73
2014-12-14,510,364,136,10,447,51,4,1,7,0,0,42,51,39,53,43,27,48,69,21,7,35,14,16,2,8,15,13,2,5,91,74,102,72,46,94,31
2014-12-21,576,395,172,9,491,70,2,3,10,0,0,46,56,46,64,54,41,29,65,34,19,33,11,15,8,14,19,10,6,6,81,83,89,99,57,82,85
2014-12-28,427,286,132,9,356,50,8,2,11,0,0,39,51,38,46,35,23,35,38,25,11,26,10,14,7,9,8,5,4,3,31,66,95,58,25,51,101
2015-01-04,290,187,102,1,233,39,6,2,9,1,0,34,42,22,41,12,17,15,17,16,10,12,5,11,4,6,10,7,7,2,9,43,56,45,38,35,64
2015-01-11,351,223,122,6,304,35,2,1,9,0,0,29,38,35,55,20,20,22,26,19,14,18,9,9,6,7,8,9,4,3,57,49,53,62,23,49,58
2015-01-18,452,297,145,10,381,50,7,2,12,0,0,47,45,32,58,42,41,28,40,13,11,23,17,11,6,10,8,14,3,3,74,73,66,94,43,68,34
2015-01-25,457,291,156,10,365,65,3,5,19,0,0,35,52,30,56,30,25,26,49,18,18,28,25,17,5,7,21,10,2,3,73,59,64,83,39,75,64
2015-02-01,515,332,175,8,428,63,10,1,13,0,0,47,65,30,53,35,36,39,62,27,21,27,13,11,2,14,13,11,3,6,73,80,80,76,61,61,84
2015-02-08,491,324,160,7,421,52,2,1,14,0,1,40,49,40,43,33,40,39,72,18,16,30,12,18,9,7,10,7,7,1,41,69,78,87,50,102,64
2015-02-15,515,339,171,5,432,66,4,3,10,0,0,49,61,45,57,32,36,20,63,18,21,27,13,19,9,9,16,12,4,4,63,71,81,84,45,83,88
2015-02-22,598,388,202,8,508,63,4,4,19,0,0,55,75,40,65,44,44,40,69,20,22,46,10,15,11,12,15,8,2,5,94,95,98,103,40,82,86
2015-03-01,566,373,181,12,484,65,4,3,9,0,1,46,66,49,67,38,47,31,72,16,17,32,18,11,4,12,17,10,9,4,93,96,64,93,55,72,93
2015-03-08,519,326,182,11,430,67,1,6,14,0,1,43,61,34,58,53,32,34,47,14,24,26,18,20,9,17,15,8,1,5,78,71,90,70,63,67,80
2015-03-15,557,357,196,4,472,61,3,3,18,0,0,46,63,50,65,38,36,37,73,23,13,26,17,18,1,10,16,15,5,5,94,104,63,99,56,70,71
2015-03-22,549,339,205,5,446,77,4,5,17,0,0,42,65,46,64,43,34,41,66,22,12,31,18,11,4,12,27,6,2,3,83,71,69,106,52,89,79
2015-03-29,453,278,166,9,364,65,5,4,15,0,0,41,59,26,48,33,33,30,54,21,16,27,17,14,5,6,11,9,2,1,53,80,81,94,50,61,34
2015-04-05,360,216,134,10,294,46,7,2,11,0,0,33,40,27,36,25,22,18,30,18,12,17,11,17,11,10,13,9,5,6,39,70,68,37,41,45,60
2015-04-12,482,294,181,7,401,61,4,4,12,0,0,43,60,28,54,43,29,35,45,24,19,34,9,17,10,9,10,6,4,3,80,72,79,79,45,73,54
2015-04-19,598,392,190,16,517,66,2,2,11,0,0,62,67,48,73,42,49,33,60,27,25,24,14,13,5,20,17,13,3,3,99,106,71,96,43,86,97
2015-04-26,514,343,158,13,429,69,3,6,7,0,0,44,73,43,54,29,38,24,66,23,18,23,16,11,8,15,11,7,8,3,77,44,66,96,53,105,73
2015-05-03,516,310,195,11,422,79,4,3,8,0,0,45,72,35,50,39,32,27,44,22,17,36,20,17,8,15,17,9,8,3,85,81,79,50,60,74,87
2015-05-10,558,358,191,9,461,73,6,3,15,0,0,57,67,28,71,48,38,40,70,11,14,30,14,14,9,15,16,8,4,4,85,85,69,100,57,84,78
2015-05-17,554,355,185,14,469,67,5,0,13,0,0,57,68,41,62,40,47,25,45,24,24,29,12,18,8,18,18,6,8,4,84,73,71,98,44,91,93
2015-05-24,443,269,160,14,362,51,7,0,23,0,0,49,50,28,36,30,34,33,47,20,19,28,13,11,3,10,10,12,9,1,68,68,91,65,50,68,33
2015-05-31,566,361,188,17,481,63,6,4,12,0,0,47,58,42,69,37,47,34,57,32,23,34,18,8,10,24,12,4,6,4,104,75,82,85,51,76,93
2015-06-07,680,426,244,10,566,80,5,5,24,0,0,76,67,41,57,48,41,44,60,28,20,49,16,28,22,20,33,11,15,4,104,94,99,111,54,90,128
2015-06-14,549,355,188,6,475,55,5,5,9,0,0,59,55,50,65,25,31,37,56,19,19,26,20,14,14,11,26,11,9,2,107,81,80,97,55,85,44
2015-06-21,532,336,187,9,449,56,8,5,13,1,0,61,51,34,59,34,34,24,56,20,17,32,17,16,14,12,29,9,5,8,88,88,80,84,59,81,52
2015-06-28,575,390,175,10,485,67,8,1,14,0,0,59,61,38,61,37,34,27,57,23,20,37,16,25,20,11,27,8,10,4,98,70,92,97,47,84,87
2015-07-05,523,312,202,9,428,73,6,4,12,0,0,55,66,35,56,35,26,30,60,12,12,31,18,12,11,14,26,10,7,7,83,85,90,87,58,81,39
2015-07-12,601,386,204,11,496,75,4,2,24,0,0,72,70,42,65,41,34,22,64,20,14,29,15,20,21,15,25,10,17,5,100,74,86,93,67,93,88
2015-07-19,658,441,208,9,551,77,7,1,22,0,0,58,58,60,64,35,40,52,70,20,22,29,26,20,12,17,35,13,20,7,99,93,89,127,64,104,82
2015-07-26,596,361,226,9,496,82,3,2,13,0,0,60,59,46,74,29,38,35,48,20,23,34,23,17,16,18,31,14,8,3,76,105,113,87,59,93,63
2015-08-02,555,340,206,9,461,72,2,2,18,0,0,52,51,34,55,41,45,32,58,18,15,36,25,17,11,19,25,14,5,2,85,83,79,87,79,69,73
2015-08-09,495,286,200,9,411,68,7,2,7,0,0,55,39,34,57,28,39,36,47,20,12,26,12,18,17,11,21,10,10,3,93,93,85,51,37,58,78
2015-08-16,600,372,220,8,509,68,6,3,14,0,0,64,63,36,62,34,29,30,75,20,19,38,16,17,18,16,33,13,10,7,87,91,69,92,63,108,90
2015-08-23,542,349,187,6,468,53,9,2,10,0,0,51,59,36,59,33,37,25,59,12,14,39,20,18,18,14,27,11,7,3,88,91,99,81,57,76,50
2015-08-30,625,385,230,10,527,72,7,1,18,0,0,70,72,48,67,39,39,43,52,17,17,40,16,25,24,14,19,12,8,3,94,85,78,86,57,109,116
2015-09-06,664,408,245,11,544,90,8,6,16,0,0,72,64,43,73,49,33,44,74,30,15,32,15,26,16,20,33,13,8,4,101,125,89,86,77,87,99
