,TOTAL_ACCIDENTES,GRAVEDAD,GRAVEDAD,GRAVEDAD,CLASE,CLASE,CLASE,CLASE,CLASE,CLASE,CLASE,LOCALIDAD,LOCALIDAD,LOCALIDAD,LOCALIDAD,LOCALIDAD,LOCALIDAD,LOCALIDAD,LOCALIDAD,LOCALIDAD,LOCALIDAD,LOCALIDAD,LOCALIDAD,LOCALIDAD,LOCALIDAD,LOCALIDAD,LOCALIDAD,LOCALIDAD,LOCALIDAD,LOCALIDAD,DIA_SEMANA_OCURRENCIA,DIA_SEMANA_OCURRENCIA,DIA_SEMANA_OCURRENCIA,DIA_SEMANA_OCURRENCIA,DIA_SEMANA_OCURRENCIA,DIA_SEMANA_OCURRENCIA,DIA_SEMANA_OCURRENCIA
,,SOLO DANOS,CON HERIDOS,CON MUERTOS,CHOQUE,ATROPELLO,VOLCAMIENTO,OTRO,CAIDA DE OCUPANTE,INCENDIO,AUTOLESION,KENNEDY,ENGATIVA,FONTIBON,SUBA,PUENTE ARANDA,CHAPINERO,TEUSAQUILLO,USAQUEN,LOS MARTIRES,SANTA FE,BARRIOS UNIDOS,RAFAEL URIBE URIBE,BOSA,SAN CRISTOBAL,TUNJUELITO,CIUDAD BOLIVAR,ANTONIO NARIÑO,USME,CANDELARIA,Jueves,Miercoles,Martes,Viernes,Domingo,Sábado,Lunes
FECHA_OCURRENCIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-05-04,644,435,203,6,512,76,12,29,14,1,0,56,64,60,63,47,58,33,68,27,25,37,9,24,8,12,27,13,9,4,65,114,101,104,80,77,103
2008-05-11,684,455,215,14,552,76,16,25,15,0,0,70,57,43,73,46,71,47,71,24,30,33,15,20,15,23,24,12,4,6,118,98,111,119,79,98,61
2008-05-18,728,501,219,8,598,81,14,23,12,0,0,80,63,49,64,51,81,57,88,25,27,45,10,16,15,12,22,11,8,4,97,102,105,126,88,105,105
2008-05-25,752,538,203,11,615,89,8,32,8,0,0,83,64,57,71,47,71,42,84,33,31,53,18,22,20,12,14,13,8,9,108,89,114,141,76,135,89
2008-06-01,603,443,156,4,503,62,8,21,9,0,0,54,51,45,65,37,44,45,79,20,24,46,9,18,12,19,16,8,4,7,86,100,102,95,60,109,51
2008-06-08,642,435,203,4,524,71,10,29,8,0,0,71,62,40,57,34,47,49,88,24,15,40,21,14,13,16,28,9,9,5,95,104,101,106,75,105,56
2008-06-15,775,570,198,7,652,75,9,23,16,0,0,75,75,47,74,54,60,43,104,33,29,49,17,26,9,25,26,14,11,4,94,102,109,135,107,129,99
2008-06-22,719,508,205,6,595,69,13,31,11,0,0,78,71,53,62,47,49,41,108,37,29,37,15,7,11,23,25,12,6,8,107,111,113,113,67,115,93
2008-06-29,695,461,231,3,569,76,20,18,12,0,0,69,58,70,60,44,58,49,69,33,18,55,19,21,16,14,20,8,9,5,109,97,82,113,85,118,91
2008-07-06,631,453,171,7,526,64,6,29,5,1,0,66,74,63,60,38,51,36,70,24,16,27,11,14,13,16,24,9,12,7,84,99,94,109,69,114,62
