FECHA_OCURRENCIA,LOCALIDAD_TEUSAQUILLO,LOCALIDAD_ENGATIVA,LOCALIDAD_PUENTE-ARANDA,LOCALIDAD_RAFAEL-URIBE-URIBE,LOCALIDAD_SUBA,LOCALIDAD_LOS-MARTIRES,LOCALIDAD_FONTIBON,LOCALIDAD_USME,LOCALIDAD_CIUDAD-BOLIVAR,LOCALIDAD_KENNEDY,LOCALIDAD_TUNJUELITO,LOCALIDAD_ANTONIO-NARIÑO,LOCALIDAD_BOSA,LOCALIDAD_CHAPINERO,LOCALIDAD_BARRIOS-UNIDOS,LOCALIDAD_USAQUEN,LOCALIDAD_SANTA-FE,LOCALIDAD_CANDELARIA,LOCALIDAD_SAN-CRISTOBAL,GRAVEDAD_CON-HERIDOS,GRAVEDAD_SOLO-DANOS,GRAVEDAD_CON-MUERTOS,CLASE_CON-HERIDOS,CLASE_SOLO-DANOS,CLASE_CON-MUERTOS
2008-01-20,41,60,55,18,56,17,44,5,17,61,12,10,11,50,44,48,20,3,16,173,408,7.0,173,408,7.0
2008-01-27,40,66,43,17,52,31,56,11,19,84,15,14,13,49,38,67,28,7,17,228,434,5.0,228,434,5.0
2008-02-03,49,64,51,13,63,39,61,13,28,69,12,9,14,70,59,69,23,4,17,229,483,15.0,229,483,15.0
2008-02-10,56,69,53,17,59,16,40,5,17,64,15,7,8,57,33,70,35,8,7,188,438,10.0,188,438,10.0
2008-02-17,53,66,43,7,52,29,46,5,18,85,9,9,17,60,41,72,26,7,7,209,440,3.0,209,440,3.0
2008-02-24,53,85,64,9,57,43,55,5,27,71,12,11,19,61,37,80,29,5,12,186,539,10.0,186,539,10.0
2008-03-02,52,85,43,21,59,28,51,6,26,75,23,6,17,65,32,71,27,4,17,202,499,7.0,202,499,7.0
2008-03-09,48,69,45,14,61,28,53,6,24,74,18,11,14,62,48,67,34,9,17,196,496,10.0,196,496,10.0
2008-03-16,52,72,51,19,70,36,40,7,16,76,18,7,10,66,42,70,31,6,14,198,495,10.0,198,495,10.0
2008-03-23,23,48,28,15,35,19,37,3,16,38,17,11,15,22,25,39,18,7,11,141,275,11.0,141,275,11.0
2008-03-30,38,61,35,26,55,18,53,17,19,71,14,8,16,61,39,70,17,6,16,174,458,8.0,174,458,8.0
2008-04-06,56,62,51,13,78,22,61,13,26,49,19,7,16,68,46,97,37,7,11,202,527,10.0,202,527,10.0
2008-04-13,46,78,39,9,54,21,43,5,20,74,15,10,19,57,44,83,29,4,15,197,464,4.0,197,464,4.0
2008-04-20,46,68,31,13,56,23,47,11,22,72,18,11,27,57,44,63,23,7,18,186,461,10.0,186,461,10.0
2008-04-27,40,52,51,21,78,23,53,6,22,61,12,7,14,54,52,87,24,5,14,178,486,12.0,178,486,12.0
2008-05-04,33,64,47,9,63,27,60,9,27,56,12,13,24,58,37,68,25,4,8,203,435,6.0,203,435,6.0
2008-05-11,47,57,46,15,73,24,43,4,24,70,23,12,20,71,33,71,30,6,15,215,455,14.0,215,455,14.0
2008-05-18,57,63,51,10,64,25,49,8,22,80,12,11,16,81,45,88,27,4,15,219,501,8.0,219,501,8.0
2008-05-25,42,64,47,18,71,33,57,8,14,83,12,13,22,71,53,84,31,9,20,203,538,11.0,203,538,11.0
2008-06-01,45,51,37,9,65,20,45,4,16,54,19,8,18,44,46,79,24,7,12,156,443,4.0,156,443,4.0
2008-06-08,49,62,34,21,57,24,40,9,28,71,16,9,14,47,40,88,15,5,13,203,435,4.0,203,435,4.0
2008-06-15,43,75,54,17,74,33,47,11,26,75,25,14,26,60,49,104,29,4,9,198,570,7.0,198,570,7.0
2008-06-22,41,71,47,15,62,37,53,6,25,78,23,12,7,49,37,108,29,8,11,205,508,6.0,205,508,6.0
2008-06-29,49,58,44,19,60,33,70,9,20,69,14,8,21,58,55,69,18,5,16,231,461,3.0,231,461,3.0
2008-07-06,36,74,38,11,60,24,63,12,24,66,16,9,14,51,27,70,16,7,13,171,453,7.0,171,453,7.0
2008-07-13,50,65,46,16,61,24,50,11,23,54,15,9,30,55,31,71,30,9,4,185,461,8.0,185,461,8.0
2008-07-20,62,85,53,13,73,21,59,5,21,69,13,8,15,51,37,84,19,8,13,200,500,9.0,200,500,9.0
2008-07-27,36,67,45,11,52,24,53,8,11,66,10,11,13,71,54,76,21,8,17,181,470,3.0,181,470,3.0
2008-08-03,45,69,46,13,69,27,44,8,25,82,17,8,15,80,44,86,35,12,10,202,523,10.0,202,523,10.0
2008-08-10,62,59,45,11,53,26,55,11,13,55,10,4,17,55,50,76,25,7,9,168,463,12.0,168,463,12.0
2008-08-17,41,74,52,8,70,31,53,4,23,50,9,5,26,76,42,95,29,7,10,178,516,11.0,178,516,11.0
2008-08-24,58,69,48,18,68,35,49,8,20,69,12,12,28,77,49,81,31,10,11,216,530,7.0,216,530,7.0
2008-08-31,51,78,47,15,81,21,55,6,18,72,14,6,19,66,54,77,35,4,8,220,496,11.0,220,496,11.0
2008-09-07,61,79,43,15,70,28,43,3,12,65,9,7,15,72,50,84,33,4,12,166,530,9.0,166,530,9.0
2008-09-14,64,73,36,11,57,31,65,4,22,55,9,12,20,65,39,89,34,4,8,163,527,8.0,163,527,8.0
2008-09-21,43,64,52,15,83,33,49,6,27,62,6,7,21,63,39,85,24,2,9,191,490,9.0,191,490,9.0
2008-09-28,51,74,47,9,73,20,48,1,24,84,8,4,18,69,38,86,32,11,12,156,546,7.0,156,546,7.0
2008-10-05,48,68,42,14,78,20,71,2,23,63,16,13,15,75,50,80,28,1,11,185,528,5.0,185,528,5.0
2008-10-12,49,59,30,22,51,18,49,12,20,59,11,13,12,55,37,74,27,7,11,147,463,6.0,147,463,6.0
2008-10-19,36,47,38,17,71,20,58,8,15,64,11,8,20,52,38,81,24,4,11,161,452,10.0,161,452,10.0
2008-10-26,55,50,65,16,63,17,42,5,22,62,20,5,21,74,50,110,25,4,17,170,549,4.0,170,549,4.0
2008-11-02,55,75,63,20,83,30,50,12,24,66,7,14,13,67,42,80,25,7,19,200,547,5.0,200,547,5.0
2008-11-09,50,70,49,13,72,33,64,8,27,74,16,12,19,42,52,85,32,3,5,219,496,11.0,219,496,11.0
2008-11-16,40,69,53,17,69,29,52,6,25,81,13,10,19,61,42,73,22,7,10,177,508,13.0,177,508,13.0
2008-11-23,36,59,44,13,54,31,45,6,19,75,8,7,17,58,31,74,19,7,15,163,451,4.0,163,451,4.0
2008-11-30,57,80,42,14,48,23,69,8,20,67,9,5,6,70,42,90,29,9,12,174,521,5.0,174,521,5.0
2008-12-07,46,60,60,19,70,34,63,12,25,68,11,12,18,59,56,83,23,10,12,192,544,5.0,192,544,5.0
2008-12-14,28,74,60,17,70,22,57,11,26,90,14,11,15,63,33,61,28,7,4,176,505,10.0,176,505,10.0
2008-12-21,49,60,60,16,66,26,56,8,24,90,11,13,23,69,40,87,32,8,15,208,529,16.0,208,529,16.0
2008-12-28,34,52,67,18,49,30,41,8,14,80,11,11,23,29,21,57,15,6,13,158,407,14.0,158,407,14.0
2009-01-04,19,35,33,10,21,9,24,9,11,52,10,8,22,20,24,34,12,3,7,126,231,6.0,126,231,6.0
2009-01-11,17,40,32,15,37,16,29,2,9,41,12,3,18,29,29,37,8,4,6,110,266,8.0,110,266,8.0
2009-01-18,40,36,43,9,34,15,52,4,5,42,7,8,10,33,22,68,17,7,2,124,325,5.0,124,325,5.0
2009-01-25,29,58,48,8,53,17,37,2,6,47,7,8,12,62,43,63,18,8,7,160,367,6.0,160,367,6.0
2009-02-01,25,45,53,15,53,19,47,5,6,52,8,3,13,45,26,73,22,6,9,154,361,10.0,154,361,10.0
2009-02-08,32,45,43,5,51,21,27,5,10,52,9,10,9,40,44,44,22,6,6,142,327,12.0,142,327,12.0
2009-02-15,33,49,47,11,42,17,37,11,8,39,6,8,15,40,35,77,28,5,9,123,392,2.0,123,392,2.0
2009-02-22,36,57,42,11,52,24,27,5,12,52,7,12,5,40,40,69,20,1,12,158,356,10.0,158,356,10.0
2009-03-01,43,65,42,9,59,26,38,3,12,39,9,9,11,46,48,64,27,8,8,173,381,12.0,173,381,12.0
2009-03-08,21,53,43,19,50,24,38,5,5,49,14,7,13,52,45,54,26,3,6,147,363,17.0,147,363,17.0
2009-03-15,42,41,43,11,54,30,29,0,4,37,17,8,11,44,26,62,24,6,7,132,359,5.0,132,359,5.0
2009-03-22,38,53,38,16,55,32,28,5,9,51,9,6,11,61,35,79,26,8,10,143,420,7.0,143,420,7.0
2009-03-29,39,52,40,11,51,29,31,5,9,50,4,10,11,53,31,64,20,3,9,133,382,7.0,133,382,7.0
2009-04-05,47,59,60,17,56,16,49,5,7,56,7,12,8,58,34,75,18,8,12,147,449,8.0,147,449,8.0
2009-04-12,28,33,29,5,25,12,27,2,5,36,5,7,9,28,23,37,17,1,6,85,250,0.0,85,250,0.0
2009-04-19,34,38,37,10,55,20,27,3,6,48,13,7,8,44,22,73,16,5,9,127,341,7.0,127,341,7.0
2009-04-26,40,44,43,16,56,19,31,4,13,63,14,8,7,54,38,76,21,5,11,160,391,12.0,160,391,12.0
2009-05-03,29,49,43,9,35,18,27,6,8,50,15,6,14,48,30,63,25,8,12,138,350,7.0,138,350,7.0
2009-05-10,46,60,41,9,52,20,40,3,11,45,15,4,11,42,35,71,18,4,13,127,407,6.0,127,407,6.0
2009-05-17,32,52,47,12,45,15,43,5,6,51,15,7,8,37,26,75,15,6,8,144,354,7.0,144,354,7.0
2009-05-24,31,52,49,13,43,22,34,4,12,43,6,3,11,37,35,67,16,6,9,154,332,7.0,154,332,7.0
2009-05-31,28,61,22,8,48,16,47,5,6,58,8,8,11,38,22,66,14,5,7,124,346,8.0,124,346,8.0
2009-06-07,37,64,35,12,46,26,41,2,4,62,6,10,7,59,34,75,31,5,9,128,431,6.0,128,431,6.0
2009-06-14,38,48,34,11,50,32,49,5,8,50,7,7,8,42,32,79,24,4,7,132,390,13.0,132,390,13.0
2009-06-21,24,47,38,12,43,18,45,4,9,40,12,1,11,48,31,62,19,9,5,129,339,10.0,129,339,10.0
2009-06-28,37,56,29,13,35,15,34,4,8,34,9,8,4,27,22,48,15,5,9,105,304,3.0,105,304,3.0
2009-07-05,24,51,31,9,41,22,33,8,5,40,11,8,8,50,30,52,21,4,11,128,326,5.0,128,326,5.0
2009-07-12,40,46,40,14,50,17,32,5,5,56,4,5,10,50,35,60,20,5,9,147,347,9.0,147,347,9.0
2009-07-19,32,45,38,17,48,25,48,6,8,42,7,9,7,32,38,57,28,3,7,126,363,8.0,126,363,8.0
2009-07-26,35,44,42,15,54,21,49,3,13,49,7,10,9,37,38,71,12,5,18,138,381,13.0,138,381,13.0
2009-08-02,38,67,56,12,32,27,34,1,14,42,16,9,13,37,32,68,23,8,3,165,354,13.0,165,354,13.0
2009-08-09,32,62,36,13,42,24,40,6,11,50,7,11,13,41,35,62,18,1,11,153,355,7.0,153,355,7.0
2009-08-16,36,66,36,16,57,25,42,4,7,45,11,12,15,54,35,66,10,8,5,143,406,1.0,143,406,1.0
2009-08-23,42,51,31,16,60,23,39,6,5,43,16,9,15,57,30,55,13,6,12,119,399,11.0,119,399,11.0
2009-08-30,34,44,30,11,54,24,31,4,9,46,5,6,6,56,30,60,22,6,3,144,334,3.0,144,334,3.0
2009-09-06,48,53,44,17,53,26,38,4,14,46,11,11,8,53,39,62,23,5,7,145,408,9.0,145,408,9.0
2009-09-13,35,47,36,14,55,27,32,7,16,49,11,10,13,41,28,56,20,2,5,152,337,15.0,152,337,15.0
2009-09-20,38,58,56,10,45,25,40,6,8,53,9,7,15,45,40,46,27,10,9,153,388,6.0,153,388,6.0
2009-09-27,39,44,38,11,52,20,29,6,3,53,8,8,9,35,32,46,19,4,10,153,308,5.0,153,308,5.0
2009-10-04,30,46,36,19,64,26,40,10,11,58,13,5,14,48,29,51,23,10,8,164,370,7.0,164,370,7.0
2009-10-11,35,58,34,11,31,18,52,4,6,41,11,9,8,49,33,52,19,6,5,140,334,8.0,140,334,8.0
2009-10-18,39,58,32,9,40,24,39,8,12,36,11,14,15,53,36,48,21,6,6,140,360,7.0,140,360,7.0
2009-10-25,32,59,43,11,48,26,41,5,10,52,10,9,16,46,39,62,32,4,9,170,373,11.0,170,373,11.0
2009-11-01,30,52,37,15,46,27,36,9,8,56,9,13,11,44,28,58,23,7,8,141,365,11.0,141,365,11.0
2009-11-08,38,56,34,17,64,33,35,5,9,49,12,8,10,44,33,57,31,2,7,172,361,11.0,172,361,11.0
2009-11-15,36,53,46,10,52,19,42,7,12,50,7,9,9,47,32,55,21,12,7,152,365,9.0,152,365,9.0
2009-11-22,29,48,38,4,55,20,38,4,11,40,11,9,15,39,24,65,25,10,12,179,315,3.0,179,315,3.0
2009-11-29,28,56,43,19,50,33,36,4,10,50,9,9,10,43,23,50,27,4,10,149,358,7.0,149,358,7.0
2009-12-06,45,72,54,8,62,26,51,4,11,45,5,9,13,56,36,51,24,9,7,174,400,14.0,174,400,14.0
2009-12-13,46,67,32,11,67,24,43,2,4,57,6,9,22,51,42,48,25,6,10,181,388,3.0,181,388,3.0
2009-12-20,35,56,45,19,52,26,38,7,10,47,11,7,9,46,31,55,32,5,11,173,362,7.0,173,362,7.0
2009-12-27,26,57,37,14,47,27,28,1,16,29,5,6,13,28,25,41,13,6,5,163,257,4.0,163,257,4.0
2010-01-03,20,32,30,5,40,15,30,7,9,30,8,6,6,19,17,32,15,2,1,107,211,6.0,107,211,6.0
2010-01-10,20,40,24,13,46,20,23,9,6,34,7,8,15,31,21,27,15,1,6,124,238,4.0,124,238,4.0
2010-01-17,26,57,18,14,64,23,34,4,8,38,6,8,14,42,21,47,21,5,3,125,320,8.0,125,320,8.0
2010-01-24,34,54,40,11,58,21,35,7,4,43,7,5,15,41,34,60,16,7,9,164,327,10.0,164,327,10.0
2010-01-31,36,62,37,13,51,19,39,5,11,49,14,13,15,45,35,56,17,9,8,218,307,9.0,218,307,9.0
2010-02-07,27,57,38,13,50,25,41,11,13,44,15,8,17,56,33,55,22,6,15,218,323,5.0,218,323,5.0
2010-02-14,42,63,34,10,62,24,38,1,15,57,8,14,14,49,37,49,15,11,11,180,370,4.0,180,370,4.0
